customer_id,full_name,email_address,phone_number,registration_date,purchase_amount,product_category,satisfaction_score_1-5,country,customer_age,gender,order_status,discount_applied,shipping_cost,registration_date_imputed
CUST_101181,Donald Brown,Unknown,4003496385,2024-10-20,385.2,Books,3,Australia,71,Female,Shipped,Yes,46.49,0
CUST_100069,David Garcia,david.35@yahoo.com,5538535544,2020-10-27,415.43,Electronics,1,Canada,77,Male,Cancelled,Yes,12.88,0
CUST_100351,Robert Wilson,robert.50@gmail.com,5438783553,2021-10-13,385.2,Automotive,1,United Kingdom,37,Male,Delivered,No,12.28,0
CUST_101163,Donna Moore,Unknown,1793424343,2019-03-23,341.33,Books,5,United Kingdom,43,Female,Unknown,No,35.68,0
CUST_100429,Carol Davis,carol.43@yahoo.com,8084404666,2023-11-06,129.95,Sports,3,France,45,Female,Pending,Yes,48.93,0
CUST_101930,Lisa Gonzalez,Unknown,8424251716,2019-12-27,595.05,Sports,1,Australia,33,Female,Cancelled,Yes,11.73,0
CUST_100239,Carol Garcia,carol.49@hotmail.com,4549017616,2020-10-14,449.46,Automotive,4,Australia,25,Female,Shipped,No,35.9,0
CUST_101749,Sandra Taylor,Unknown,7844194420,2018-09-28,569.65,Automotive,1,United Kingdom,60,Male,Pending,No,7.82,0
CUST_100855,Betty Williams,betty.11@yahoo.com,7756801515,2024-03-09,385.6,Automotive,3,France,60,Female,Cancelled,Yes,26.55,0
CUST_100464,Sarah Miller,sarah.92@gmail.com,9792517169,2023-01-17,385.2,Sports,3,Unknown,79,Male,Shipped,Yes,26.58,1
CUST_101936,Matthew Jones,Unknown,5491258217,2018-07-05,402.65,Sports,2,France,62,Female,Pending,No,11.11,0
CUST_101566,Matthew Hernandez,matthew.30@company.com,1147842060,2021-11-27,555.17,Clothing,2,Germany,77,Female,Pending,Yes,26.55,0
CUST_100701,Ruth Rodriguez,Unknown,Unknown,2018-02-04,163.92,Home & Garden,3,Australia,69,Male,Delivered,Yes,15.87,0
CUST_100602,Jennifer Martinez,jennifer.76@gmail.com,2141991223,2021-05-11,352.09,Clothing,5,United Kingdom,73,Male,Delivered,No,49.63,0
CUST_101787,John Miller,john.27@gmail.com,9075508548,2022-02-28,313.42,Electronics,3,Canada,54,Male,Pending,No,38.43,0
CUST_100231,Steven Johnson,Unknown,6136259956,2018-04-08,148.59,Books,1,United States,62,Female,Shipped,Yes,27.74,0
CUST_101713,James Gonzalez,Unknown,3562895933,2024-08-27,340.38,Toys,3,United Kingdom,51,Female,Shipped,Yes,24.68,0
CUST_100561,Jennifer Gonzalez,jennifer.71@yahoo.com,2905116808,2019-12-22,11.79,Unknown,1,United Kingdom,47,Female,Delivered,No,43.68,0
CUST_100433,Daniel Martin,Unknown,3283652895,2020-09-21,207.81,Toys,5,Japan,50,Female,Shipped,Yes,38.16,1
CUST_101712,William Gonzalez,william.70@hotmail.com,3897292724,2018-12-05,385.2,Electronics,4,Japan,78,Male,Cancelled,Yes,17.7,0
CUST_101329,Maria Moore,maria.53@gmail.com,1684584703,2022-06-21,724.16,Electronics,3,Unknown,69,Female,Delivered,Yes,26.55,0
CUST_100519,Anthony Anderson,anthony.90@gmail.com,3274872720,2021-06-09,106.12,Books,5,France,69,Male,Pending,No,26.55,1
CUST_100438,Robert Lopez,Unknown,7046484110,2021-06-16,123.81,Electronics,3,France,68,Male,Cancelled,No,14.78,0
CUST_101933,Maria Martinez,Unknown,1575007226,2021-12-21,12.02,Unknown,3,Canada,54,Female,Cancelled,Yes,39.03,0
CUST_100111,Anthony Martinez,Unknown,4257986613,2022-09-02,446.3,Electronics,5,Australia,43,Male,Delivered,Yes,21.78,0
CUST_100196,Steven Williams,Unknown,Unknown,2018-06-22,542.64,Sports,4,Germany,27,Male,Shipped,No,48.76,0
CUST_100056,Robert Thomas,robert.59@outlook.com,5971283340,2023-09-11,345.4,Automotive,4,France,19,Female,Delivered,No,33.67,0
CUST_101285,Nancy Thomas,nancy.34@company.com,6547193487,2021-09-15,459.01,Clothing,3,United States,66,Male,Delivered,Unknown,45.42,0
CUST_101573,Karen Garcia,karen.90@yahoo.com,6191685447,2021-02-18,705.27,Toys,2,Germany,64,Female,Cancelled,No,35.47,0
CUST_101351,Susan Hernandez,Unknown,9073562970,2023-11-08,466.58,Home & Garden,2,Unknown,39,Male,Shipped,No,18.03,0
CUST_100324,Thomas Jones,Unknown,7236998354,2020-02-22,385.2,Sports,3,Australia,37,Female,Shipped,No,26.55,0
CUST_101959,Betty Taylor,Unknown,2289606782,2024-06-16,342.74,Unknown,4,Germany,50,Female,Cancelled,No,24.63,0
CUST_101956,Jennifer Smith,jennifer.72@yahoo.com,4768571343,2019-07-18,445.0,Home & Garden,1,United States,63,Female,Cancelled,Yes,31.34,0
CUST_101487,Lisa Johnson,lisa.92@gmail.com,8058964042,2019-06-15,385.2,Automotive,1,Germany,21,Female,Cancelled,No,35.3,1
CUST_100727,Sarah Jones,sarah.28@yahoo.com,1876831735,2022-01-09,657.74,Clothing,3,United Kingdom,55,Male,Delivered,Unknown,48.81,0
CUST_101318,Thomas Moore,Unknown,7294803718,2019-05-24,505.14,Automotive,3,United States,76,Female,Delivered,No,32.67,1
CUST_101204,James Miller,james.88@company.com,8512879345,2021-03-07,360.43,Clothing,4,United States,43,Female,Shipped,No,32.76,0
CUST_100744,Thomas Davis,Unknown,Unknown,2021-05-24,532.86,Electronics,2,France,67,Female,Shipped,No,12.01,0
CUST_100543,John Williams,Unknown,7312941119,2020-11-30,133.95,Electronics,4,Germany,59,Female,Delivered,No,9.63,0
CUST_101053,Anthony Jones,anthony.20@company.com,Unknown,2020-06-04,402.11,Toys,3,Japan,44,Male,Pending,No,25.02,1
CUST_100070,Donna Wilson,donna.32@outlook.com,9862691406,2019-10-23,570.22,Books,1,United States,49,Female,Shipped,Yes,38.75,0
CUST_100029,Jennifer Martin,jennifer.52@gmail.com,7063644954,2018-12-14,304.19,Clothing,5,United Kingdom,79,Female,Pending,No,11.08,0
CUST_101326,Anthony Miller,anthony.55@outlook.com,1054194074,2021-10-11,568.55,Sports,5,Germany,55,Male,Cancelled,Yes,36.91,0
CUST_100210,Jennifer Martin,Unknown,8817304098,2019-09-16,568.62,Electronics,1,France,23,Male,Shipped,Yes,26.55,0
CUST_101361,Ruth Williams,Unknown,Unknown,2022-07-10,95.69,Home & Garden,3,France,49,Male,Cancelled,No,49.03,0
CUST_101463,Richard Williams,richard.27@outlook.com,9327298454,2021-05-06,578.07,Electronics,2,United States,67,Female,Cancelled,No,12.91,0
CUST_101915,Matthew Martinez,matthew.84@gmail.com,1428128358,2018-12-11,773.68,Automotive,4,Canada,75,Female,Pending,No,36.5,0
CUST_101629,John Miller,Unknown,6504788178,2022-01-27,272.79,Electronics,4,France,34,Male,Shipped,No,17.58,0
CUST_101992,Richard Jackson,Unknown,1998731645,2023-03-07,397.14,Automotive,5,Unknown,50,Female,Unknown,No,40.14,0
CUST_101303,Anthony Brown,anthony.95@outlook.com,Unknown,2020-07-23,358.91,Electronics,1,France,64,Male,Shipped,No,13.07,0
CUST_101575,Matthew Johnson,Unknown,9171578317,2020-07-30,642.86,Toys,3,France,64,Male,Shipped,No,9.28,1
CUST_101681,Sandra Moore,sandra.55@outlook.com,5099782639,2019-09-20,714.34,Sports,1,Canada,35,Female,Shipped,No,49.46,1
CUST_100630,Donna Rodriguez,Unknown,3981403427,2023-11-05,333.06,Electronics,1,Unknown,79,Female,Shipped,No,25.06,0
CUST_101635,Daniel Gonzalez,daniel.47@hotmail.com,9363981358,2023-02-01,385.2,Clothing,2,Germany,50,Female,Shipped,Yes,23.71,0
CUST_101347,Lisa Davis,lisa.96@company.com,4634199552,2021-02-17,242.9,Sports,3,Australia,44,Female,Cancelled,No,48.24,0
CUST_100128,Robert Moore,robert.94@outlook.com,1373879074,2024-06-02,573.55,Sports,2,Germany,34,Male,Shipped,Yes,31.27,0
CUST_100903,Richard Martinez,richard.58@gmail.com,2051294670,2024-05-18,56.21,Electronics,1,Canada,33,Female,Delivered,Yes,26.55,1
CUST_101315,Helen Thomas,helen.67@gmail.com,8669959963,2022-01-09,251.76,Toys,3,United States,43,Male,Cancelled,No,28.31,0
CUST_101129,Maria Lopez,Unknown,4936071308,2018-01-21,750.63,Home & Garden,4,United States,59,Male,Shipped,Yes,24.46,0
CUST_101686,James Martinez,james.64@outlook.com,Unknown,2024-03-20,451.44,Electronics,1,Germany,44,Female,Shipped,No,44.32,0
CUST_100976,Jennifer Garcia,jennifer.83@yahoo.com,3809989927,2021-10-29,44.75,Books,4,United Kingdom,50,Female,Shipped,Yes,46.87,0
CUST_100781,Betty Johnson,Unknown,7853654015,2022-09-06,339.18,Toys,5,United States,49,Male,Shipped,No,46.55,0
CUST_101375,Jennifer Anderson,Unknown,7008397000,2023-05-10,253.9,Home & Garden,3,Australia,50,Male,Delivered,Yes,33.75,1
CUST_100124,Carol Hernandez,Unknown,Unknown,2023-05-05,705.47,Books,5,Canada,44,Female,Delivered,Yes,6.06,0
CUST_100254,Lisa Smith,lisa.17@gmail.com,3095002043,2018-09-25,325.24,Clothing,2,United States,61,Male,Shipped,No,16.4,1
CUST_100930,Thomas Anderson,Unknown,2688026032,2018-02-26,385.2,Home & Garden,3,Unknown,79,Male,Delivered,No,6.55,0
CUST_100220,Emma Anderson,emma.45@outlook.com,7539091599,2020-04-18,165.83,Books,2,Canada,27,Female,Delivered,Yes,33.19,0
CUST_100100,Sandra Thomas,sandra.73@hotmail.com,5336688401,2022-06-08,127.56,Clothing,4,United States,26,Male,Shipped,Yes,26.55,1
CUST_101804,Ruth Martin,Unknown,8744914312,2021-03-08,385.2,Toys,5,Australia,19,Male,Shipped,Yes,29.43,1
CUST_100374,Michael Wilson,Unknown,7598287297,2024-07-18,254.43,Electronics,2,Australia,79,Female,Shipped,No,15.57,0
CUST_100420,Anthony Jones,anthony.35@company.com,1894089990,2020-12-11,197.1,Toys,3,Australia,24,Female,Shipped,Yes,39.87,0
CUST_101554,Maria Hernandez,maria.13@gmail.com,8332625992,2019-09-06,385.2,Automotive,5,Canada,65,Female,Delivered,No,47.69,0
CUST_101844,Nancy Johnson,Unknown,6839179322,2019-10-16,783.48,Electronics,1,Japan,68,Male,Delivered,No,34.49,1
CUST_100968,Anthony Williams,Unknown,8274419484,2020-09-27,616.69,Home & Garden,3,United States,31,Male,Shipped,Yes,33.48,0
CUST_101447,Sandra Smith,sandra.61@yahoo.com,7919408875,2018-02-19,487.42,Clothing,2,Japan,50,Male,Delivered,No,30.46,1
CUST_100649,Donna Johnson,donna.45@yahoo.com,1214173669,2022-04-12,554.74,Automotive,3,France,64,Male,Delivered,Yes,26.55,1
CUST_101944,Betty Anderson,betty.24@yahoo.com,8003391096,2021-04-08,367.08,Unknown,2,Germany,64,Female,Shipped,No,21.13,1
CUST_935650,Mark Taylor,Unknown,9286078144,2021-02-23,400.19,Clothing,5,United Kingdom,50,Male,Pending,Yes,49.79,0
CUST_101593,Sandra Rodriguez,sandra.38@yahoo.com,6047463892,2019-06-24,769.75,Electronics,4,United States,59,Female,Delivered,Yes,8.62,1
CUST_101968,Maria Hernandez,maria.94@hotmail.com,2116558410,2019-03-19,53.14,Books,3,United Kingdom,52,Female,Cancelled,Unknown,26.55,0
CUST_101555,Susan Johnson,Unknown,5507895831,2019-03-23,594.82,Books,4,Japan,65,Female,Cancelled,No,32.73,0
CUST_100548,Mark Garcia,mark.56@company.com,2791767013,2022-04-12,673.78,Automotive,5,Australia,20,Male,Cancelled,No,26.45,0
CUST_100233,Robert Davis,robert.48@yahoo.com,1734681627,2021-09-29,304.76,Sports,4,Germany,71,Male,Pending,Yes,7.31,0
CUST_101165,Steven Williams,steven.28@company.com,Unknown,2023-10-26,461.4,Home & Garden,2,Japan,74,Male,Unknown,No,26.55,0
CUST_101552,Mark Hernandez,mark.48@company.com,3951264621,2021-07-23,763.71,Unknown,5,Australia,57,Male,Cancelled,Yes,26.55,0
CUST_100680,James Smith,james.71@outlook.com,4995578838,2024-01-30,390.29,Books,2,France,18,Male,Shipped,No,40.69,0
CUST_100614,Daniel Gonzalez,Unknown,8283586690,2023-03-13,322.29,Clothing,4,Unknown,29,Female,Shipped,No,17.73,0
