Customer ID,Full Name,Email Address,Phone Number,Registration Date,Purchase Amount,Product Category,Satisfaction Score (1-5),Country,Customer Age,Gender,Order Status,Discount Applied,Shipping Cost
CUST_101181,Donald Brown,john.smith@gmail.com,400-349-6385,10/20/2024 0:00,,Books,3,Australia,71,Female,Shipped,Yes,46.49
CUST_100069,David Garcia,david.35@yahoo.com,553-853-5544,10/27/2020 0:00,415.43,Electronics,1,can,77,Male,Cancelled,Yes,12.88
CUST_100351,Robert Wilson,robert.50@gmail.com,543-878-3553,10/13/2021 0:00,($60.81),Automotive,1,United Kingdom,37,Male,Delivered,No,12.28
CUST_101163,Donna Moore,donna.92@,(179) 342-4343,3/23/2019 0:00,341.33,Books,5,United Kingdom,43,Female,,No,35.68
CUST_100429,Carol Davis,carol.43@yahoo.com,(808) 440-4666,11/6/2023 0:00,129.95,Sports,-5,FR,45,Female,Pending,Yes,48.93
CUST_101930,Lisa Gonzalez,lisa.61@,842-425-1716,12/27/2019 0:00,595.05,Sports,1,Australia,33,Female,Cancelled,Yes,11.73
CUST_100239,Carol Garcia,carol.49@hotmail.com,454-901-7616,10/14/2020 0:00,449.46,Automotive,4,Australia,25,Female,Shipped,No,35.9
CUST_101749,Sandra Taylor,sandra.60@,784-419-4420,9/28/2018 0:00,569.65 USD,Automotive,1,United Kingdom,60,Male,Pending,No,7.82 USD
CUST_100855,Betty Williams,betty.11@yahoo.com,775-680-1515,3/9/2024 0:00,385.60 USD,Automotive,3,FR,60,Female,Cancelled,Yes,
CUST_100464,Sarah Miller,sarah.92@gmail.com,979-251-7169,8/4/2021,,Sports,3,,79,Male,SHIPPED,Yes,26.58
CUST_101936,Matthew Jones,,549-125-8217,7/5/2018 0:00,402.65,Sports,2,FR,62,Female,Pending,No,11.11
CUST_101566,Matthew Hernandez,matthew.30@company.com,114-784-2060,11/27/2021 0:00,555.17,Clothing,2,Germany,77,Female,Pending,Yes,
CUST_100701,Ruth Rodriguez,  user68@gmail.com  ,,2/4/2018 0:00,163.92,Home & Garden,3,Australia,69,Male,Delivered,Yes,15.87
CUST_100602,Jennifer Martinez,jennifer.76@gmail.com,214-199-1223,5/11/2021 0:00,352.09,CLOTHING,5,UK,73,Male,Delivered,No,49.63
CUST_101787,John Miller,john.27@gmail.com,907-550-8548,2/28/2022 0:00,313.42,Electronics,3,Canada,54,Male,Pending,No,38.43
CUST_100231,Steven Johnson,steven.38@,613-625-9956,4/8/2018 0:00,148.59,Boks,1,USA,62,Female,Shipped,Yes,27.74
CUST_101713,James Gonzalez,john.smith@gmail.com,356 289 5933,8/27/2024 0:00,340.38,Toys,3,UK,51,Female,Shipped,Yes,24.68
CUST_100561,Jennifer Gonzalez,jennifer.71@yahoo.com,290-511-6808,12/22/2019 0:00,11.79,,1,United Kingdom,47,Female,Delivered,No,43.68
CUST_100433,Daniel Martin,user433@,328-365-2895,8/20/2019,207.81,Toys,5,JP,131,Female,Shipped,Yes,38.16 EUR
CUST_101712,William Gonzalez,william.70@hotmail.com,389-729-2724,12/5/2018 0:00,"$2,458.00 ",Electronics,3.5,Japan,78,Male,Cancelled,Yes,17.7
CUST_101329,Maria Moore,maria.53@gmail.com,168-458-4703,6/21/2022 0:00,724.16,Electronics,3,,69,Female,Delivered,Yes,
CUST_100519,Anthony Anderson,anthony.90@gmail.com,327-487-2720,,106.12,Books,5,FR,69,Male,Pending,No,
CUST_100438,Robert Lopez,john.smith@gmail.com,704-648-4110,6/16/2021 0:00,123.81,Electronics,3,France,68,Male,Cancelled,No,14.78
CUST_101933,Maria Martinez,maria.96@,157-500-7226,12/21/2021 0:00,12.02,,3,CAN,54,Female,Cancelled,Yes,39.03
CUST_100111,Anthony Martinez,user111@,425-798-6613,9/2/2022 0:00,446.3,Electronics,5,AUS,43,Male,Delivered,Yes,21.78 USD
CUST_100196,Steven Williams,  user446@gmail.com  ,,6/22/2018 0:00,542.64,Sports,4,DE,27,Male,Shipped,No,48.76
CUST_100056,Robert Thomas,robert.59@outlook.com,597-128-3340,9/11/2023 0:00,345.4,Automotive,4,France,19,Female,Delivered,No,33.67
CUST_101285,NANCY THOMAS,nancy.34@company.com,654-719-3487,9/15/2021 0:00,459.01,Clothing,8,US,66,Male,Delivered,,$45.42 
CUST_101573,Karen Garcia,karen.90@yahoo.com,619-168-5447,2/18/2021 0:00,705.27,Toys,2,DE,64,Female,Cancelled,No,35.47
CUST_101351,Susan Hernandez,,907-356-2970,11/8/2023 0:00,466.58,Home & Garden,2,,39,Male,Shipped,No,18.03
CUST_100324,Thomas Jones,user324@invalid,723-699-8354,2/22/2020 0:00,,Sports,-1,Australia,37,Female,Shipped,FALSE,
CUST_101959,Betty Taylor,,228-960-6782,6/16/2024 0:00,342.74 USD,,4,DE,N/A,Female,Cancelled,No,24.63
CUST_101956,Jennifer Smith,jennifer.72@yahoo.com,476-857-1343,7/18/2019 0:00,445,HOME & GARDEN,1,USA,63,Female,Cancelled,Yes,31.34
CUST_101487,Lisa Johnson,lisa.92@gmail.com,805-896-4042,9/25/2027,"$3,876.00 ",Automotive,1,DE,21,Female,Cancelled,No,35.3
CUST_100727,Sarah Jones,sarah.28@yahoo.com,187 683 1735,1/9/2022 0:00,657.74,Clothing,,UK,55,Male,Delivered,,48.81
CUST_101318,Thomas Moore,thomas.29@,729-480-3718,3/5/2024,505.14,Automotive,3.1,United States,76,Female,Delivered,No,32.67
CUST_101204,James Miller,james.88@company.com,851-287-9345,3/7/2021 0:00,360.43,Clothing,4,US,43,Female,Shipped,No,32.76
CUST_100744,Thomas Davis,,,5/24/2021 0:00,532.86,Electronics,2,FR,67,Female,Shipped,N,12.01
CUST_100543,John Williams,,731-294-1119,11/30/2020 0:00,133.95,Electronics,4,de,59,Female,delivered,No,9.63
CUST_101053,Anthony Jones,anthony.20@company.com,814-431,4/6/2019,402.11,Toys,3,Japan,44,Male,Pending,no,25.02
CUST_100070,Donna Wilson,donna.32@outlook.com,986-269-1406,10/23/2019 0:00,570.22,Books,Bad,USA,49,Female,Shipd,Yes,38.75
CUST_100029,Jennifer Martin,jennifer.52@gmail.com,706-364-4954,12/14/2018 0:00,304.19,Clothing,5,United Kingdom,79,Female,pending,No,11.08
CUST_101326,Anthony Miller,anthony.55@outlook.com,105-419-4074,10/11/2021 0:00,568.55,Sports,5,DE,55,Male,Cancelled,Yes,36.91
CUST_100210,JENNIFER MARTIN,jennifer.49@,881-730-4098,9/16/2019 0:00,568.62,Electronics,1,FR,23,Male,Shipped,Yes,
CUST_101361,Ruth Williams,john.smith@gmail.com,,7/10/2022 0:00,95.69,Home & Garden,3,FR,49,Male,Cancelled,no,49.03
